ncatch,T_USDA_TEX_CLASS,area,aqua_TEX
R_Baroste,13.0,73861.59156914355,Sand
R_BatokaGorge,13.0,3312.2378373478286,Sand
R_Bubi,12.0,5344.01488692409,LoamySand
R_CahoraBassa,11.0,12365.134402151947,SandyLoam
R_Cuando,13.0,138339.41479902025,Sand
R_Gwayi,13.0,18053.807889312757,Sand
R_Harare,12.0,12396.879708456552,LoamySand
R_Hwange,13.0,23283.23367726754,Sand
R_Kabompo,11.0,30809.045462934642,SandyLoam
R_KafueFlat,9.0,22268.879338078314,Loam
R_KafueGorgeLow,9.0,2202.1814325446694,Loam
R_KafueGorgeUp,9.0,1739.774098384837,Loam
R_KafueUp,11.0,60611.91342260574,SandyLoam
R_Kamuzu,10.0,614.7196037413638,SandyClayLoam
R_Kapichira,11.0,3010.7949256351926,SandyLoam
R_Kariba,9.0,25927.87668580342,Loam
R_Kholombidzo,9.0,2011.9682743366213,Loam
R_LakeMalawi,9.0,22401.270113491853,Loam
R_Lilongwe,3.0,5202.607220546705,Clay
R_LowerShire,3.0,6236.250929029108,Clay
R_Luanginga,13.0,27388.182680520116,Sand
R_Luangwa,9.0,94930.03872085523,Loam
R_Lungue,13.0,36953.235776892776,Sand
R_Matabeleland South,12.0,11737.620579632978,LoamySand
R_Mazowe,13.0,9954.909747664435,Sand
R_MphandaNkuwa,11.0,22141.67291166198,SandyLoam
R_Mupata,9.0,7290.0630701771,Loam
R_Mutirikwe,12.0,4425.506316717943,LoamySand
R_Mwenezi,10.0,3257.885715788687,SandyClayLoam
R_Mzingwane,12.0,7208.746161416702,LoamySand
R_RukuruRumphi,10.0,9829.59953362419,SandyClayLoam
R_Rumakali,3.0,1537.9435621042871,Clay
R_Runde downstream,11.0,2886.719716424223,SandyLoam
R_Runde upstream,3.0,3754.213744657393,Clay
R_Sanyati,12.0,20792.605787862474,LoamySand
R_Save,12.0,10779.86699364782,LoamySand
R_Songwe,10.0,1622.25796727436,SandyClayLoam
R_Tete,11.0,21283.142135892143,SandyLoam
R_UpperZambezi,13.0,67230.29322689181,Sand
R_ZambeziDelta,9.0,3934.2916392881166,Loam
